series_id,Channel,Category,Customer Segment,Forecast Week,Forecast
CG|1 Jar|Regular,CG,1 Jar,Regular,2025-04-14,272.87206816611956
CG|2 Jars|Regular,CG,2 Jars,Regular,2025-04-14,464.293218799167
CG|3 Jars|Regular,CG,3 Jars,Regular,2025-04-14,183.3069427908278
CG|CKM|Regular,CG,CKM,Regular,2025-04-14,329.016395314312
CG|NB Smart 2 Jar|Regular,CG,NB Smart 2 Jar,Regular,2025-04-14,241.6291647412109
CG|1 Jar|Top Account,CG,1 Jar,Top Account,2025-04-14,0.25483515833230486
CG|2 Jars|Top Account,CG,2 Jars,Top Account,2025-04-14,97.2158627474519
CG|3 Jars|Top Account,CG,3 Jars,Top Account,2025-04-14,41.31848467259844
CG|CKM|Top Account,CG,CKM,Top Account,2025-04-14,94.66032585885094
CG|NB Smart 2 Jar|Top Account,CG,NB Smart 2 Jar,Top Account,2025-04-14,55.192622457150186
Canteen|2 Jars|Key Account,Canteen,2 Jars,Key Account,2025-04-14,0.23512462252403735
Canteen|3 Jars|Key Account,Canteen,3 Jars,Key Account,2025-04-14,46.37838443139064
Canteen|CKM|Key Account,Canteen,CKM,Key Account,2025-04-14,25.813975931715586
Canteen|NB Smart 2 Jar|Key Account,Canteen,NB Smart 2 Jar,Key Account,2025-04-14,15.479448130763156
Canteen|2 Jars|Regular,Canteen,2 Jars,Regular,2025-04-14,0.21655213046146624
Canteen|3 Jars|Regular,Canteen,3 Jars,Regular,2025-04-14,432.51635072169364
Canteen|CKM|Regular,Canteen,CKM,Regular,2025-04-14,201.132647794275
Canteen|NB Smart 2 Jar|Regular,Canteen,NB Smart 2 Jar,Regular,2025-04-14,191.52563233746847
Canteen|2 Jars|Top Account,Canteen,2 Jars,Top Account,2025-04-14,17.659277161056668
Canteen|3 Jars|Top Account,Canteen,3 Jars,Top Account,2025-04-14,10.242714181310314
Canteen|CKM|Top Account,Canteen,CKM,Top Account,2025-04-14,5.695221545246711
Canteen|NB Smart 2 Jar|Top Account,Canteen,NB Smart 2 Jar,Top Account,2025-04-14,4.610164312996039
DTH|1 Jar|Key Account,DTH,1 Jar,Key Account,2025-04-14,54.145508633131456
DTH|2 Jars|Key Account,DTH,2 Jars,Key Account,2025-04-14,39.78366297711062
