H,Channel,MAE,MAPE,sMAPE
6,Canteen,46.12195196476069,863290905.101634,39.078366293817
6,DTH,33.44627272120989,1100258590.8503387,44.55416577936023
6,EBO,40.515179473745114,1693024088.645571,52.61492747632248
6,ECOM B2B,18.947038101616517,584489105.4210789,45.183780467871834
6,ECOM B2C,43.27420513068562,473457014.8783786,41.2901196708971
6,Export,10.288710771590061,323524610.9333349,57.92678757999258
6,GT,153.5614030632781,4342719356.776859,47.276643312132705
6,MT,88.38477143309609,1746540148.642898,36.56342247353382
6,Others,9.42695503769002,23145028.75082742,49.848432513991725
6,Website,19.87333241948895,388994910.200032,53.36418919982664
7,CG,57.189067306987724,1181794224.434352,45.11165226821151
7,Canteen,47.31359063043207,889585238.2374859,40.951821442601386
7,DTH,32.78809268886914,1045090025.6081434,45.8902783457954
7,EBO,39.25501167557405,1352757675.085455,50.19335042851171
7,ECOM B2B,30.57836373797731,1274669048.6425123,62.7100012592401
7,ECOM B2C,41.6730324257853,33362093.618735403,35.41763021885803
7,Export,10.172653370870812,309752210.85055023,58.44677850828228
7,GT,128.44401531883813,2079959005.3433716,43.04190128737494
7,MT,72.41324791202,714505824.5901798,32.06980320603988
7,Others,10.657656436821684,109117473.19633153,57.85482076863242
7,Website,17.30855924655031,140577079.95180273,46.777206502095254
8,CG,61.79131531236336,1275713349.9485052,46.8354564875063
8,Canteen,47.42971096672292,912999852.5222751,42.04500333715824
8,DTH,30.604127511406645,586101561.9571059,46.87119536589627
8,EBO,42.1431480527857,1677313278.1525357,51.47963645786942
8,ECOM B2B,28.225692491485415,1198204390.301049,60.26246789418263
8,ECOM B2C,38.72870051099603,621935095.5697104,37.38770251277427
8,Export,9.944340998391645,214824044.5498691,56.187448797353845
8,GT,117.40871083236281,1464126755.9514215,37.61010391679903
8,MT,85.24587122974783,1987210631.7146022,37.53503902655416
8,Others,11.630261021927822,109367584.2958471,63.953721175415836
8,Website,19.37585612970292,458421268.2127229,54.81852410768284
9,CG,65.73262030622018,1132186193.1464524,45.202794323975645
9,Canteen,47.55298546984661,803435618.9670283,40.49642282840194
9,DTH,27.234075847157506,589078039.8772652,44.08506960059284
9,EBO,42.83682564822317,1666374349.6443355,54.364500293495645
9,ECOM B2B,26.889513847277545,1025647268.8470302,59.48636686516734
9,ECOM B2C,46.04147553699097,591824264.9406307,41.78191643390191
9,Export,11.066050437233192,311007291.7121183,58.33998159139413
9,GT,127.7546926109345,1960528813.946576,42.48999269012174
9,MT,84.01927604701872,2526009648.277477,39.98382626427709
9,Others,10.964410424735563,94479047.83214076,61.290496972167304
9,Website,20.164716634770535,365356037.44368535,56.90268878274176
10,CG,74.26955402074859,2131187990.1362739,50.22282092022435
10,Canteen,46.57951966583022,819685310.868454,43.987385367642524
10,DTH,40.64650544999998,1124419550.0311217,48.60046533737348
10,EBO,44.27525206724292,1805191787.7296162,52.225172476052265
10,ECOM B2B,31.990153806621947,1331919430.3090558,63.72178631135783
10,ECOM B2C,50.57048806190559,1328395563.9609964,39.910649346506375
10,Export,10.403682647366375,288983201.7120099,57.571611283229075
10,GT,120.78545444396481,976137418.1616666,38.30747272046896
10,MT,82.25446495520023,2536198341.063609,40.12775892124408
10,Others,11.932794186826298,234874523.53619286,67.45680045295853
10,Website,22.791032076998974,597680486.4828782,57.231092485232246
11,CG,66.08151509740017,1101261935.8839605,47.83201077369303
11,Canteen,53.06235808650285,905897448.5580391,43.04318518492812
11,DTH,38.96669160441371,1423941389.9868739,47.13179750211754
11,EBO,40.881912008631055,1399035772.199207,46.07155824733411
11,ECOM B2B,27.375167934214137,1007946770.1674995,56.68819388666485
11,ECOM B2C,63.800742321923416,1917837009.3751674,48.844167000569335
11,Export,10.46439862868127,171307899.60059375,55.076555348693425
11,GT,120.52485478429945,748912447.0162075,39.75852146146931
11,MT,78.84172795223161,2712196165.728624,43.358953353146674
11,Others,11.903416301472477,231438498.4865177,72.09878350001827
11,Website,23.855233042209594,800016475.7075129,64.56526755198257
12,CG,71.49331190666342,1460174518.542371,48.27362121285896
12,Canteen,41.89119298838336,379738434.2625433,43.988303168640854
12,DTH,38.984822402656754,1270164112.8183167,50.326412719633765
12,EBO,44.00360188856803,1640336352.588371,51.02788284990446
12,ECOM B2B,24.80285936603318,700958294.0392737,56.36613724913171
12,ECOM B2C,65.3532741053491,1819327524.354363,47.31015493561797
12,Export,9.601659184834151,139041422.22289523,55.48776066845919
12,GT,121.35628146153903,531710080.3639743,40.96332274502216
12,MT,84.34575371406795,2431441069.633356,40.94254240058776
12,Others,12.547080119147678,207276154.44687173,74.8084462785707
12,Website,20.268509682137143,525643318.54626995,61.3915649038022
13,CG,77.5603437778023,1411966553.688731,52.502122652739814
13,Canteen,56.819222977866126,1349291273.5652132,49.41140901929845
13,DTH,38.08252497133111,1066774769.1295961,46.12123230504174
13,EBO,50.09660761944849,1590404249.1906834,53.431311193185394
13,ECOM B2B,29.459973546152785,975048095.9951036,59.728791012470104
13,ECOM B2C,75.74658792513489,2761690037.3363657,56.87691307627004
13,Export,10.955258369899232,280557333.0601657,59.522893380265984
13,GT,139.30291547682708,486989964.6518646,46.51278721801982
13,MT,94.78047106835159,2855094899.519787,45.55405453301671
13,Others,14.790407071950312,512969664.3078749,80.10041079309376
13,Website,27.108523684134628,889401711.0988386,70.53109617467187
