series_id,Channel,Category,Customer Segment,Week,origin_week,horizon,pred,actual,abs_err,APE
Export|CKM|Top Account,Export,CKM,Top Account,2024-11-18,2024-11-18,1,9.042486146328416,8.698,0.3444861463284159,0.039605213420144385
GT|1 Jar|Key Account,GT,1 Jar,Key Account,2024-11-18,2024-11-18,1,694.4011982558212,540.536,153.86519825582127,0.28465300785853537
GT|1 Jar|Regular,GT,1 Jar,Regular,2024-11-18,2024-11-18,1,2297.2270724592304,1992.631,304.5960724592303,0.15286125351820296
GT|1 Jar|Top Account,GT,1 Jar,Top Account,2024-11-18,2024-11-18,1,146.52651883718835,161.766,15.239481162811643,0.09420694807816009
GT|2 Jars|Key Account,GT,2 Jars,Key Account,2024-11-18,2024-11-18,1,595.2007051457575,494.383,100.81770514575754,0.20392631855415244
GT|2 Jars|Regular,GT,2 Jars,Regular,2024-11-18,2024-11-18,1,1506.497171119155,1314.337,192.16017111915494,0.14620312075149292
GT|2 Jars|Top Account,GT,2 Jars,Top Account,2024-11-18,2024-11-18,1,102.06899414496868,111.22,9.151005855031315,0.08227841984383487
GT|3 Jars|Key Account,GT,3 Jars,Key Account,2024-11-18,2024-11-18,1,228.38708479262687,249.472,21.084915207373143,0.08451816319015017
GT|3 Jars|Regular,GT,3 Jars,Regular,2024-11-18,2024-11-18,1,0.10415798464273907,746.471,746.3668420153573,0.9998604661337912
GT|3 Jars|Top Account,GT,3 Jars,Top Account,2024-11-18,2024-11-18,1,51.811746393349665,38.827,12.984746393349667,0.33442569328945493
GT|CKM|Key Account,GT,CKM,Key Account,2024-11-18,2024-11-18,1,328.67288530599524,0.0,328.67288530599524,328672885.3059952
GT|CKM|Regular,GT,CKM,Regular,2024-11-18,2024-11-18,1,898.750662442625,839.727,59.02366244262498,0.07028910877300001
GT|CKM|Top Account,GT,CKM,Top Account,2024-11-18,2024-11-18,1,0.09840137034654241,64.195,64.09659862965346,0.998467148993745
GT|FP|Key Account,GT,FP,Key Account,2024-11-18,2024-11-18,1,96.32504888117886,106.568,10.24295111882114,0.09611657457042583
GT|FP|Regular,GT,FP,Regular,2024-11-18,2024-11-18,1,309.2183102063319,294.071,15.147310206331895,0.05150902403274003
GT|FP|Top Account,GT,FP,Top Account,2024-11-18,2024-11-18,1,23.891227073120678,20.949,2.9422270731206766,0.14044713700513992
MT|1 Jar|Key Account,MT,1 Jar,Key Account,2024-11-18,2024-11-18,1,488.42442121542325,514.778,26.35357878457677,0.05119406576150645
MT|1 Jar|Regular,MT,1 Jar,Regular,2024-11-18,2024-11-18,1,704.2615176468615,662.623,41.63851764686149,0.06283892597579843
