series_id,Channel,Category,Customer Segment,Forecast Month,Forecast
DTH|CKM|Key Account,DTH,CKM,Key Account,2025-04,0.01159525299537575
DTH|Combos|Key Account,DTH,Combos,Key Account,2025-04,0.012631953929838567
DTH|FP|Key Account,DTH,FP,Key Account,2025-04,0.010342307270155704
DTH|Gift Combos|Key Account,DTH,Gift Combos,Key Account,2025-04,0.012631953929838567
DTH|NB Smart 2 Jar|Key Account,DTH,NB Smart 2 Jar,Key Account,2025-04,0.009095866789645928
DTH|NB Smart 3 Jar|Key Account,DTH,NB Smart 3 Jar,Key Account,2025-04,0.011710143409197623
DTH|NB Smart CKM|Key Account,DTH,NB Smart CKM,Key Account,2025-04,0.010813996797265968
DTH|Personal Blender|Key Account,DTH,Personal Blender,Key Account,2025-04,0.012631953929838567
DTH|Sipper Jar|Key Account,DTH,Sipper Jar,Key Account,2025-04,0.015165356668566072
DTH|Storm|Key Account,DTH,Storm,Key Account,2025-04,0.012631953929838567
DTH|Thunder|Key Account,DTH,Thunder,Key Account,2025-04,0.012631953929838567
DTH|1 Jar|Regular,DTH,1 Jar,Regular,2025-04,20.842053981195743
DTH|2 Jars|Regular,DTH,2 Jars,Regular,2025-04,170.106947736086
DTH|3 Jars|Regular,DTH,3 Jars,Regular,2025-04,12.323608567566747
DTH|Blender|Regular,DTH,Blender,Regular,2025-04,0.015879148544165812
DTH|CKM|Regular,DTH,CKM,Regular,2025-04,19.765125785173748
DTH|Combos|Regular,DTH,Combos,Regular,2025-04,0.01567917254573909
DTH|FP|Regular,DTH,FP,Regular,2025-04,0.013070385840293668
DTH|Gift Combos|Regular,DTH,Gift Combos,Regular,2025-04,0.01567917254573909
DTH|NB Smart 2 Jar|Regular,DTH,NB Smart 2 Jar,Regular,2025-04,13.207595931406368
DTH|NB Smart 3 Jar|Regular,DTH,NB Smart 3 Jar,Regular,2025-04,3.6597449761614924
DTH|NB Smart CKM|Regular,DTH,NB Smart CKM,Regular,2025-04,4.719155283379877
DTH|Personal Blender|Regular,DTH,Personal Blender,Regular,2025-04,0.01567917254573909
DTH|Sipper Jar|Regular,DTH,Sipper Jar,Regular,2025-04,0.01882371050787705
DTH|Storm|Regular,DTH,Storm,Regular,2025-04,0.015519048317738968
DTH|Thunder|Regular,DTH,Thunder,Regular,2025-04,4.602630257233197
DTH|1 Jar|Top Account,DTH,1 Jar,Top Account,2025-04,0.007977403982635887
DTH|2 Jars|Top Account,DTH,2 Jars,Top Account,2025-04,0.01021020138201576
DTH|3 Jars|Top Account,DTH,3 Jars,Top Account,2025-04,0.007798795890449788
DTH|Blender|Top Account,DTH,Blender,Top Account,2025-04,0.01147446005951446
DTH|CKM|Top Account,DTH,CKM,Top Account,2025-04,0.007427400994594701
DTH|Combos|Top Account,DTH,Combos,Top Account,2025-04,0.00796286407269899
DTH|FP|Top Account,DTH,FP,Top Account,2025-04,0.006791262761909694
